fecha;cod_sucursal;cod_producto;disponible;segunda;remate
2019-07-28 00:00:00;10068;37005070;0;0;0
2019-07-28 00:00:00;10026;37005070;0;0;0
2019-07-28 00:00:00;10028;37005070;0;0;0
2019-07-28 00:00:00;10074;37005070;12;0;0
2019-07-28 00:00:00;10096;37005070;0;0;0
2019-07-28 00:00:00;10025;37005071;0;0;0
2019-07-28 00:00:00;10078;37005071;2;0;0
2019-07-28 00:00:00;10048;37005071;2;0;0
2019-07-28 00:00:00;10049;37005071;23;0;0
2019-07-28 00:00:00;10003;37005071;3;0;0
2019-07-28 00:00:00;10028;37005071;9;0;0
2019-07-28 00:00:00;10032;37005071;2;0;0
2019-07-28 00:00:00;10046;37005071;3;0;0
2019-07-28 00:00:00;10029;37005071;2;0;0
2019-07-28 00:00:00;10088;37005071;6;0;0
2019-07-28 00:00:00;10041;37005071;1;0;0
2019-07-28 00:00:00;10018;37005071;6;0;0
2019-07-28 00:00:00;10022;37005071;3;0;0
2019-07-28 00:00:00;10097;37005071;3;0;0
2019-07-28 00:00:00;10098;37005071;-3;0;0
2019-07-28 00:00:00;10014;37005071;2;0;0
2019-07-28 00:00:00;10000;37005071;1;0;0
2019-07-28 00:00:00;10072;37005071;5;0;0
2019-07-28 00:00:00;10026;37005071;8;0;0
2019-07-28 00:00:00;10076;37005071;6;0;0
2019-07-28 00:00:00;10068;37005071;5;0;0
2019-07-28 00:00:00;10051;37005071;10;0;0
2019-07-28 00:00:00;10096;37005071;11;0;0
2019-07-28 00:00:00;10016;37005071;4;0;0
2019-07-28 00:00:00;10057;37005071;1;0;0
2019-07-28 00:00:00;10045;37005071;6;0;0
2019-07-28 00:00:00;10034;37005071;3;0;0
2019-07-28 00:00:00;10074;37005071;7;0;0
2019-07-28 00:00:00;10021;37005071;0;0;0
2019-07-28 00:00:00;10099;37005071;0;0;0
2019-07-28 00:00:00;10026;37005072;0;0;0
2019-07-28 00:00:00;10088;37005072;0;0;0
2019-07-28 00:00:00;10028;37005072;0;0;0
2019-07-28 00:00:00;10068;37005072;0;0;0
2019-07-28 00:00:00;10049;37005072;1;0;0
2019-07-28 00:00:00;10041;37005072;1;0;0
2019-07-28 00:00:00;10018;37005072;8;0;0
2019-07-28 00:00:00;10096;37005072;1;0;0
2019-07-28 00:00:00;10078;37005072;-1;0;0
2019-07-28 00:00:00;10072;37005072;3;0;0
2019-07-28 00:00:00;10051;37005072;0;0;0
2019-07-28 00:00:00;10048;37005072;1;0;0
2019-07-28 00:00:00;10032;37005072;0;0;0
2019-07-28 00:00:00;10057;37005072;0;0;0
2019-07-28 00:00:00;10021;37005072;0;0;0
2019-07-28 00:00:00;10029;37005072;0;0;0
2019-07-28 00:00:00;10074;37005072;2;0;0
2019-07-28 00:00:00;10034;37005072;1;0;0
2019-07-28 00:00:00;10045;37005072;1;0;0
2019-07-28 00:00:00;10088;37005074;1;0;0
2019-07-28 00:00:00;10051;37005074;0;0;0
2019-07-28 00:00:00;10049;37005074;1;0;0
2019-07-28 00:00:00;10049;37005075;2;0;0
2019-07-28 00:00:00;10088;37005075;1;0;0
2019-07-28 00:00:00;10099;37005076;2;0;0
2019-07-28 00:00:00;10096;37005076;1;0;0
2019-07-28 00:00:00;10034;37005076;5;0;0
2019-07-28 00:00:00;10048;37005076;1;0;0
2019-07-28 00:00:00;10046;37005076;1;0;0
2019-07-28 00:00:00;10074;37005076;2;0;0
2019-07-28 00:00:00;10049;37005076;5;0;0
2019-07-28 00:00:00;10016;37005076;3;0;0
2019-07-28 00:00:00;10051;37005076;0;0;0
2019-07-28 00:00:00;10072;37005076;3;0;0
2019-07-28 00:00:00;10057;37005076;0;0;0
2019-07-28 00:00:00;10032;37005076;1;0;0
2019-07-28 00:00:00;10078;37005076;3;0;0
2019-07-28 00:00:00;10026;37005076;0;0;0
2019-07-28 00:00:00;10021;37005076;0;0;0
2019-07-28 00:00:00;10029;37005076;2;0;0
2019-07-28 00:00:00;10018;37005076;4;0;0
2019-07-28 00:00:00;10088;37005076;2;0;0
2019-07-28 00:00:00;10068;37005076;2;0;0
2019-07-28 00:00:00;10028;37005076;1;0;0
2019-07-28 00:00:00;10045;37005076;3;0;0
2019-07-28 00:00:00;10045;37005077;7;0;0
2019-07-28 00:00:00;10018;37005077;1;0;0
2019-07-28 00:00:00;10088;37005077;2;0;0
2019-07-28 00:00:00;10026;37005077;7;0;0
2019-07-28 00:00:00;10016;37005077;6;0;0
2019-07-28 00:00:00;10049;37005077;5;0;0
2019-07-28 00:00:00;10048;37005077;2;0;0
2019-07-28 00:00:00;10078;37005077;7;0;0
2019-07-28 00:00:00;10068;37005077;4;0;0
2019-07-28 00:00:00;10051;37005077;9;0;0
2019-07-28 00:00:00;10098;37005077;-1;0;0
2019-07-28 00:00:00;10029;37005077;5;0;0
2019-07-28 00:00:00;10028;37005077;0;0;0
2019-07-28 00:00:00;10019;37005129;0;0;0
2019-07-28 00:00:00;10018;37009130;-2;0;0
2019-07-28 00:00:00;10048;37009130;-4;0;0
2019-07-28 00:00:00;10057;37009130;1;0;0
2019-07-28 00:00:00;10034;37009130;1;0;0
